,0
35,"workflow mediation using vortexml ;smart supply web: an application of web-based data and workflow mediation, workshop on technologies for e-services vldb-tes workshop , cairo, september ;smart supply web: an application of web-based data and workflow mediation ;querying and splicing of xml workflows ;beyond discrete e-services;workflow mediation using vortexml,;beyond discrete e-services: composing session-oriented services in telecommunications ;querying and splicing of workflows,"
36,"workflow mediation using vortexml ;smart supply web: an application of web-based data and workflow mediation, workshop on technologies for e-services vldb-tes workshop , cairo, september ;smart supply web: an application of web-based data and workflow mediation ;querying and splicing of xml workflows ;beyond discrete e-services;workflow mediation using vortexml,;beyond discrete e-services: composing session-oriented services in telecommunications ;querying and splicing of workflows,"
37,"workflow mediation using vortexml ;smart supply web: an application of web-based data and workflow mediation, workshop on technologies for e-services vldb-tes workshop , cairo, september ;smart supply web: an application of web-based data and workflow mediation ;querying and splicing of xml workflows ;beyond discrete e-services;workflow mediation using vortexml,;beyond discrete e-services: composing session-oriented services in telecommunications ;querying and splicing of workflows,"
38,"workflow mediation using vortexml ;smart supply web: an application of web-based data and workflow mediation, workshop on technologies for e-services vldb-tes workshop , cairo, september ;smart supply web: an application of web-based data and workflow mediation ;querying and splicing of xml workflows ;workflow mediation using vortexml,;beyond discrete e-services;beyond discrete e-services: composing session-oriented services in telecommunications ;querying and splicing of workflows,"
39,"workflow mediation using vortexml ;smart supply web: an application of web-based data and workflow mediation, workshop on technologies for e-services vldb-tes workshop , cairo, september ;smart supply web: an application of web-based data and workflow mediation ;querying and splicing of xml workflows ;workflow mediation using vortexml,;beyond discrete e-services;beyond discrete e-services: composing session-oriented services in telecommunications ;querying and splicing of workflows,"
40,"optimization and evaluating algorithms for replicated data concurrency control ;cost and availability tradeoffs in replicated data concurrency control ;optimizing and evaluating algorithms for replicated data concurrency control,;optimizing voting-type algorithms for replicated data,;cost and availability tradeoffs in replicated data concurrency control,;optimizing voting-type algorithms for replicated data "
41,"workflow mediation using vortexml ;smart supply web: an application of web-based data and workflow mediation, workshop on technologies for e-services vldb-tes workshop , cairo, september ;smart supply web: an application of web-based data and workflow mediation ;querying and splicing of xml workflows ;workflow mediation using vortexml,;beyond discrete e-services;beyond discrete e-services: composing session-oriented services in telecommunications ;querying and splicing of workflows,"
42,"cost and availability tradeoffs in replicated data concurrency control ;optimizing and evaluating algorithms for replicated data concurrency control,;optimizing voting-type algorithms for replicated data ;optimization and evaluating algorithms for replicated data concurrency control ;optimizing voting-type algorithms for replicated data,;cost and availability tradeoffs in replicated data concurrency control,"
43,"a crash recovery algorithm based on multiple logs that exploits parallelism,"
44,"optimizing the costs of hierarchical quorum consensus,;optimizing the costs of hierarchical quorum consensus ;voting mechanisms in distributed systems,"
45,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
46,"a framework for handling delegation in workflow management systems,;eroica: a rule-based approach to organizational policy management in workflow systems,"
47,"organizing an optimal hierarchy of web pages based on access frequency,"
48,"a randomized voting algorithm,"
49,"a randomized algorithm for distributed consensus,"
50,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
51,"a study of composite classifiers for knowledge discovery,;hybrid classifiers for knowledge discovery,"
52,"cost and availability tradeoffs in replicated data concurrency control ;optimizing and evaluating algorithms for replicated data concurrency control,;optimizing voting-type algorithms for replicated data ;optimization and evaluating algorithms for replicated data concurrency control ;optimizing voting-type algorithms for replicated data,;cost and availability tradeoffs in replicated data concurrency control,"
53,"dynamic work distribution in workflow management systems: how to balance quality and performance?;verification and extensibility of an xml/petri-net-based language for inter-organizational workflows,;a reference model for team-enabled workflow management systems,;organizational modeling in uml and xml in the context of workflow systems ;xml based schema definition for support of inter-organizational workflow,;organizational modeling in uml and xml in the context of workflow systems,;xrl/woflan: verification and extensibility of an xml/petri-net based language for inter-organizational workflows,;verification of xrl: an xml-based workflow language,"
54,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
55,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
56,"a framework for handling delegation in workflow management systems,;eroica: a rule-based approach to organizational policy management in workflow systems,"
57,"global coordination through local exchanges and randomization,"
58,"g-tree: a new data structure for organizing multi-dimensional data,"
59,"a high availability \sqrt{n} hierarchical grid algorithm for replicated data ;efficient solution techniques for the quorumcast problem,;efficient quorumcast routing algorithms ;a high availability sqrt n hierarchical grid algorithm for replicated data,"
60,"a study of spatial clustering techniques,"
61,"hpp: a reliable causal broadcast protocol for large-scale replication ;hpp: a reliable causal broadcast protocol for large scale replication in wide area networks,;hpp: a hierarchical propagation protocol for large scale replication in wide area networks,"
62,"techniques for indexing large numbers of rules and constraints in a database system,"
63,"hierarchical quorum consensus: a new algorithm for managing replicated data,"
64,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
65,g-tree: a new data structure for organizing multidimensional data 
66,"leveraging information sharing to increase supply chain configurability,"
67,hierarchical quorum consensus: a new algorithm for managing replicated data 
68,"optimizing the costs of hierarchical quorum consensus,;optimizing the costs of hierarchical quorum consensus ;voting mechanisms in distributed systems,"
69,an efficient algorithm for solving the partial sum query problem 
70,"a performance study of general grid structures for replicated data ;a performance study of general grid structures for replicated data,"
71,an efficient supergrid protocol for high availability and load balancing 
72,"cost and availability tradeoffs in replicated data concurrency control ;optimizing and evaluating algorithms for replicated data concurrency control,;optimizing voting-type algorithms for replicated data ;optimization and evaluating algorithms for replicated data concurrency control ;optimizing voting-type algorithms for replicated data,;cost and availability tradeoffs in replicated data concurrency control,"
73,an analysis of borrowing policies for escrow transactions in a replicated data environment 
74,"cost and availability tradeoffs in replicated data concurrency control ;optimizing and evaluating algorithms for replicated data concurrency control,;optimizing voting-type algorithms for replicated data ;optimization and evaluating algorithms for replicated data concurrency control ;optimizing voting-type algorithms for replicated data,;cost and availability tradeoffs in replicated data concurrency control,"
75,new techniques for data reduction in a database system for knowledge discovery applications 
76,"optimization and evaluating algorithms for replicated data concurrency control ;cost and availability tradeoffs in replicated data concurrency control ;optimizing and evaluating algorithms for replicated data concurrency control,;optimizing voting-type algorithms for replicated data,;cost and availability tradeoffs in replicated data concurrency control,;optimizing voting-type algorithms for replicated data "
77,performance analysis of hierarchical quorum consensus algorithm for replicated objects 
78,a randomized algorithm for distributed consensus 
79,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
80,a study of spatial clustering techniques 
81,"a study of composite classifiers for knowledge discovery,;hybrid classifiers for knowledge discovery,"
82,"optimizing the costs of hierarchical quorum consensus,;optimizing the costs of hierarchical quorum consensus ;voting mechanisms in distributed systems,"
83,"mean-variance analysis of the performance of spatial clustering methods,"
84,"a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,;eroica: a rule-based approach to organizational policy management in workflow systems "
85,"meta-workflows and esp: a framework for coordination, exception handling, and adaptability in workflow systems,;security management in the presence of delegation and revocation in workflow system,;w-rbac - a workflow security model incorporating controlled overriding of constraints,"
86,"an efficient algorithm for solving the partial sum query problem,"
87,an efficient supergrid protocol for high availability and load balancing
88,"an empirical comparison of neural networks and logistic regression methods,;dessert: design space exploration of rt level components "
89,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
90,"a new algorithm for distributed consensus,"
91,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
92,"an analysis of borrowing policies for escrow transactions in a replicated data environment,"
93,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
94,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
95,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
96,"workflow mediation using vortexml ;smart supply web: an application of web-based data and workflow mediation, workshop on technologies for e-services vldb-tes workshop , cairo, september ;smart supply web: an application of web-based data and workflow mediation ;querying and splicing of xml workflows ;workflow mediation using vortexml,;beyond discrete e-services;beyond discrete e-services: composing session-oriented services in telecommunications ;querying and splicing of workflows,"
97,"verification and extensibility of an xml/petri-net-based language for inter-organizational workflows,;a reference model for team-enabled workflow management systems,;organizational modeling in uml and xml in the context of workflow systems,;verification of xrl: an xml-based workflow language,;dynamic work distribution in workflow management systems: how to balance quality and performance?;organizational modeling in uml and xml in the context of workflow systems ;xml based schema definition for support of inter-organizational workflow,;xrl/woflan: verification and extensibility of an xml/petri-net based language for inter-organizational workflows,"
98,"verification and extensibility of an xml/petri-net-based language for inter-organizational workflows,;a reference model for team-enabled workflow management systems,;organizational modeling in uml and xml in the context of workflow systems,;verification of xrl: an xml-based workflow language,;dynamic work distribution in workflow management systems: how to balance quality and performance?;organizational modeling in uml and xml in the context of workflow systems ;xml based schema definition for support of inter-organizational workflow,;xrl/woflan: verification and extensibility of an xml/petri-net based language for inter-organizational workflows,"
99,"meta-workflows and esp: a framework for coordination, exception handling, and adaptability in workflow systems,;security management in the presence of delegation and revocation in workflow system,;w-rbac - a workflow security model incorporating controlled overriding of constraints,"
100,"meta-workflows and esp: a framework for coordination, exception handling, and adaptability in workflow systems,;security management in the presence of delegation and revocation in workflow system,;w-rbac - a workflow security model incorporating controlled overriding of constraints,"
101,techniques for indexing large numbers of constraints and rules in a database system 
102,"verification and extensibility of an xml/petri-net-based language for inter-organizational workflows,;a reference model for team-enabled workflow management systems,;organizational modeling in uml and xml in the context of workflow systems,;verification of xrl: an xml-based workflow language,;dynamic work distribution in workflow management systems: how to balance quality and performance?;organizational modeling in uml and xml in the context of workflow systems ;xml based schema definition for support of inter-organizational workflow,;xrl/woflan: verification and extensibility of an xml/petri-net based language for inter-organizational workflows,"
103,"verification and extensibility of an xml/petri-net-based language for inter-organizational workflows,;a reference model for team-enabled workflow management systems,;organizational modeling in uml and xml in the context of workflow systems,;verification of xrl: an xml-based workflow language,;dynamic work distribution in workflow management systems: how to balance quality and performance?;organizational modeling in uml and xml in the context of workflow systems ;xml based schema definition for support of inter-organizational workflow,;xrl/woflan: verification and extensibility of an xml/petri-net based language for inter-organizational workflows,"
104,"verification and extensibility of an xml/petri-net-based language for inter-organizational workflows,;a reference model for team-enabled workflow management systems,;organizational modeling in uml and xml in the context of workflow systems,;verification of xrl: an xml-based workflow language,;dynamic work distribution in workflow management systems: how to balance quality and performance?;organizational modeling in uml and xml in the context of workflow systems ;xml based schema definition for support of inter-organizational workflow,;xrl/woflan: verification and extensibility of an xml/petri-net based language for inter-organizational workflows,"
105,"verification and extensibility of an xml/petri-net-based language for inter-organizational workflows,;a reference model for team-enabled workflow management systems,;organizational modeling in uml and xml in the context of workflow systems,;verification of xrl: an xml-based workflow language,;dynamic work distribution in workflow management systems: how to balance quality and performance?;organizational modeling in uml and xml in the context of workflow systems ;xml based schema definition for support of inter-organizational workflow,;xrl/woflan: verification and extensibility of an xml/petri-net based language for inter-organizational workflows,"
106,"verification and extensibility of an xml/petri-net-based language for inter-organizational workflows,;a reference model for team-enabled workflow management systems,;organizational modeling in uml and xml in the context of workflow systems,;verification of xrl: an xml-based workflow language,;dynamic work distribution in workflow management systems: how to balance quality and performance?;organizational modeling in uml and xml in the context of workflow systems ;xml based schema definition for support of inter-organizational workflow,;xrl/woflan: verification and extensibility of an xml/petri-net based language for inter-organizational workflows,"
107,intelligent traffic engineering of internets: towards a model-based approach 
108,adaptive optimal load balancing in a heterogeneous multiserver system with a central job scheduler ;adaptive load balancing in a multi-processor system with a central job scheduler ;a case study of an adaptive load balancing algorithm ;adaptive optimal load balancing in a nonhomogeneous multiserver system with a central job scheduler 
109,adaptive optimal load balancing in a heterogeneous multiserver system with a central job scheduler ;a case study of an adaptive load balancing algorithm ;adaptive load balancing in a multi-processor system with a central job scheduler ;adaptive optimal load balancing in a nonhomogeneous multiserver system with a central job scheduler 
110,adaptive optimal load balancing in a heterogeneous multiserver system with a central job scheduler ;a case study of an adaptive load balancing algorithm ;adaptive load balancing in a multi-processor system with a central job scheduler ;adaptive optimal load balancing in a nonhomogeneous multiserver system with a central job scheduler 
111,adaptive load control of the central processor in a distributed system with a star topology 
112,adaptive optimal load balancing in a heterogeneous multiserver system with a central job scheduler ;adaptive load balancing in a multi-processor system with a central job scheduler ;a case study of an adaptive load balancing algorithm ;adaptive optimal load balancing in a nonhomogeneous multiserver system with a central job scheduler ;a load-balanced parallel sorting algorithm for shared-nothing architectures 
113,a nonblocking algorithm for the distributed simulation of fcfs queueing networks with irreducible markovian routing ;queueing models and stability of message flows in distributed simulators of open queueing networks ;performance analysis and scheduling of stochastic fork-join jobs in a multicomputer system ;genetic algorithm based approach for designing computer network topology ;instability and performance limits of distributed simulators of feedforward queueing networks 
114,genetic algorithm based approach for designing computer network topology ;a nonblocking algorithm for the distributed simulation of fcfs queueing networks with irreducible markovian routing ;queueing models and stability of message flows in distributed simulators of open queueing networks ;performance analysis and scheduling of stochastic fork-join jobs in a multicomputer system ;instability and performance limits of distributed simulators of feedforward queueing networks 
115,a nonblocking algorithm for the distributed simulation of fcfs queueing networks with irreducible markovian routing ;queueing models and stability of message flows in distributed simulators of open queueing networks ;performance analysis and scheduling of stochastic fork-join jobs in a multicomputer system ;instability and performance limits of distributed simulators of feedforward queueing networks 
116,a nonblocking algorithm for the distributed simulation of fcfs queueing networks with irreducible markovian routing ;queueing models and stability of message flows in distributed simulators of open queueing networks ;performance analysis and scheduling of stochastic fork-join jobs in a multicomputer system ;instability and performance limits of distributed simulators of feedforward queueing networks 
117,optimal scheduling of a processor executing a communication protocol stack 
118,comparative performance of queueing strategies for lan - wan routers in packet data networks 
119,measurement based optimal source shaping with a shaping+multiplexing delay constraint 
120,a stochastic approximation approach for max-min fair adaptive rate control of abr sessions with mcrs ;a new approach for asynchronous distributed rate control of elastic sessions in integrated packet networks 
121,closed loop analysis of the bottleneck buffer under adaptive window controlled transfer of http-like traffic ;stochastic models for throughput analysis of randomly arriving elastic flows in the internet 
122,closed loop analysis of the bottleneck buffer under adaptive window controlled transfer of http-like traffic ;stochastic models for throughput analysis of randomly arriving elastic flows in the internet 
123,power constrained and delay optimal policies for scheduling transmission over a fading channel 
124,comparative performance of interleaved and non-interleaved pipelining in atm terminal adapters ;comparative performance of interleaved and non-interleaved pipelining in lapd terminal adaptors 
125,comparative performance of scheduling strategies for switching and multiplexing in a hub based atm network: a simulation study ;delay performance of some scheduling strategies in an input queuing atm switch with multiclass bursty traffic 
126,comparative performance of interleaved and non-interleaved pipelining in atm terminal adapters ;comparative performance of interleaved and non-interleaved pipelining in lapd terminal adaptors 
127,a stochastic approximation approach for max-min fair adaptive rate control of abr sessions with mcrs ;a new approach for asynchronous distributed rate control of elastic sessions in integrated packet networks 
128,comparative performance of scheduling strategies for switching and multiplexing in a hub based atm network: a simulation study ;delay performance of some scheduling strategies in an input queuing atm switch with multiclass bursty traffic 
129,revenue maximization in atm networks using the clp capability and buffer priority management 
130,comparative performance analysis of versions of tcp in a local network with a lossy link 
131,tcp performance over end-to-end rate control and stochastic available capacity 
132,stability and throughput analysis of unslotted cdma-aloha with finite number of users and code sharing 
133,"approximation algorithms for the unsplittable flow problem ;traveling with a pez dispenser or, routing issues in mpls ;a constant-factor approximation algorithm for the multicommodity ;a constant factor approximation algorithm for the multicommodity rent-or-buy problem ;building edge-failure resilient networks ;on configuring bgp route reflectors ;approximation via cost-sharing: a simple approximation algorithm for the multicommodity rent-or-buy problem ;sorting and selection with structured costs ;tree based mpls routing ;simpler and better approximation algorithms for network design ;exploring the trade-off between label size and stack depth in mpls routing ;routing issues in mpls or, how to travel with a pez dispenser ;provisioning a virtual private network : a network design problem for multicommodity flow "
134,"approximation algorithms for the unsplittable flow problem ;traveling with a pez dispenser or, routing issues in mpls ;optimal configuration of ospf aggregates ;a constant-factor approximation algorithm for the multicommodity ;a constant factor approximation algorithm for the multicommodity rent-or-buy problem ;sorting and selection with structured costs ;tree based mpls routing ;provisioning a virtual private network : a network design problem for multicommodity flow ;algorithms for provisioning vpns in the hose model ;building edge-failure resilient networks ;on configuring bgp route reflectors ;approximation via cost-sharing: a simple approximation algorithm for the multicommodity rent-or-buy problem ;simpler and better approximation algorithms for network design ;exploring the trade-off between label size and stack depth in mpls routing ;routing issues in mpls or, how to travel with a pez dispenser ;algorithms for provisioning virtual private networks in the hose model "
